Name,Team,Sport,Gold,Silver,Bronze,Image
Anna Helena Peterson (-Bernhard),Sweden,Swimming,0,1,0,
Anna Helene Ottosson (-Blixth),Sweden,Alpine Skiing,0,0,1,
Anna Ida Holmlund,Sweden,Freestyle Skiing,0,0,1,
Anna Ivanovna Bogaly-Titovets,Russia,Biathlon,2,0,0,
Anna Ivanovna Malukhina (Malakhova-),Soviet Union,Shooting,0,0,1,
Anna Jenny Eva Maria Fransson (Magnusson-),Sweden,Wrestling,0,0,1,
"Anna Johanna Geertruida Maria ""Annie"" Borckink",Netherlands,Speed Skating,1,0,0,
Anna Josefin Lillhage (-stblom),Sweden,Swimming,0,0,1,
Anna Katarina Nyberg,Sweden,Curling,0,0,1,
Anna Katarina Timglas,Sweden,Ice Hockey,0,1,0,
Anna Korakaki,Greece,Shooting,1,0,1,
Anna Leonidovna Glazkova,Belarus,Rhythmic Gymnastics,0,1,0,
Anna Louise Marmont,Sweden,Curling,0,0,1,
Anna Luisa Tanzini,Italy,Gymnastics,0,1,0,
Anna Magdalene Van der Kamp,Canada,Rowing,0,1,0,
Anna Maiques i Dern,Spain,Hockey,1,0,0,
Anna Maree Devenish Meares,Australia,Cycling,2,1,3,
Anna Margret Haag (Hansson-),Sweden,Cross Country Skiing,1,2,0,
"Anna Margrethe ""Molla"" Bjurstedt-Mallory",Norway,Tennis,0,0,1,
"Anna Maria ""Annie"" van der Vegt (-Smeeman)",Netherlands,Gymnastics,1,0,0,
"Anna Maria Bernadette ""Det"" de Beus",Netherlands,Hockey,1,0,1,
"Anna Maria Josefina ""Annemiek"" Derckx (-Bogie)",Netherlands,Canoeing,0,0,2,
Anna Maria Prytz,Sweden,Curling,0,1,0,
Anna Maria Rybicka,Poland,Fencing,0,1,0,
Anna Maria Svrd-Le Moine (Bergstrm-),Sweden,Curling,2,0,0,
"Anna Maria Theodora Petra ""Annemarie"" Verstappen (-Janssen)",Netherlands,Swimming,0,1,2,
Anna Mickelson-Cummins,United States,Rowing,1,1,0,
Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),Sweden,Tennis,0,0,1,
Anna Nikolayevna Kondrashina (-Krylova),Soviet Union,Rowing,0,1,0,
Anna Olegovna Karnaukh,Russia,Water Polo,0,0,1,
Anna Pfeffer,Hungary,Canoeing,0,2,1,
Anna Polatou,Greece,Rhythmic Gymnastics,0,0,1,
Anna Rogowska,Poland,Athletics,0,0,1,
Anna Rose Bebington-Watkins,Great Britain,Rowing,1,0,1,
Anna Sergeyevna Chepeleva,Russia,Gymnastics,0,1,0,
Anna Sergeyevna Grinyova,Russia,Water Polo,0,0,1,
Anna Sergeyevna Sedoykina,Russia,Handball,1,0,0,
Anna Sergeyevna Sen,Russia,Handball,1,0,0,
Anna Sloan,Great Britain,Curling,0,0,1,
Anna Stefanie Nanny Fryland Clausen (-Fryland),Denmark,Diving,1,0,0,
Anna Sznt,Hungary,Handball,0,0,1,
"Anna Teresa Margareta ""Greta"" Johansson (-Brandsten)",Sweden,Diving,1,0,0,
Anna Tunnicliffe (-Funk),United States,Sailing,1,0,0,
Anna Ulrika Maria Wennerstrm,Sweden,Curling,0,1,0,
Anna Valeryevna Arkhipova,Russia,Basketball,0,0,1,
Anna Vasilyevna Kareyeva,Russia,Handball,0,1,0,
Anna Viktoria Dahlberg-Olsson,Sweden,Cross Country Skiing,1,0,0,
Anna Viktorovna Timofeyeva,Russia,Water Polo,0,0,1,
Anna Viktorovna Vyakhireva,Russia,Handball,1,0,0,
Anna Vitalyevna Gavrilenko,Russia,Rhythmic Gymnastics,1,0,0,
Anna Vitalyevna Sivkova,Russia,Fencing,1,0,0,
Anna Vladimirovna Chicherova,Russia,Athletics,1,0,1,
Anna Vladimirovna Shorina,Russia,Synchronized Swimming,2,0,0,
Anna Vladimirovna Ustyukhina,Russia,Water Polo,0,0,1,
Anna Yevgenyevna Batyushko,Belarus,Weightlifting,0,1,0,
Anna van der Breggen,Netherlands,Cycling,1,0,1,
Anna-Carin Helena Cecilia Olofsson-Zidek,Sweden,Biathlon,1,1,0,
Anna-Karin Simone Kammerling,Sweden,Swimming,0,0,1,
"Anna-Lisa Eriksson (-Ejderfeldt, -Bergsten)",Sweden,Cross Country Skiing,0,0,1,
Anna-Maria Gradante,Germany,Judo,0,0,1,
Anna-Maria Mller (-Murach),East Germany,Luge,1,0,0,
Annabel Kosten,Netherlands,Swimming,0,0,1,
"Annabel Morwenna ""Annie"" Vernon",Great Britain,Rowing,0,1,0,
Annalise Murphy,Ireland,Sailing,0,1,0,
Annamria Kovcs-Tth,Hungary,Athletics,0,0,1,
Annapia Gandolfi,Italy,Fencing,0,1,0,
Anne Antoine Franois Grard Imbert de Balorre,France,Equestrianism,0,1,0,
Anne Briand-Bouthiaux,France,Biathlon,1,1,1,
Anne Dorthe Tanderup,Denmark,Handball,1,0,0,
Anne Dsane Andersen,Denmark,Rowing,0,0,1,
Anne Elizabeth Henning (-Walker),United States,Speed Skating,1,0,1,
Anne Elizabeth Jardin (-Alexander),Canada,Swimming,0,0,2,
Anne Elizabeth Taubes Warner,United States,Rowing,0,0,1,
Anne Grethe Jensen-Trnblad,Denmark,Equestrianism,0,1,0,
Anne Heggtveit (-Hamilton),Canada,Alpine Skiing,1,0,0,
Anne Helin,Finland,Ice Hockey,0,0,1,
Anne Jahren,Norway,Cross Country Skiing,1,1,1,
Anne Jensen-van Olst,Clearwater,Equestrianism,0,0,1,
Anne Katherine Montminy (-Goldman),Canada,Diving,0,1,1,
Anne Kathryn Schleper,United States,Ice Hockey,0,1,0,
Anne Kindel Warner (-Cribbs),United States,Swimming,1,0,0,
Anne Kindig Kursinski,United States,Equestrianism,0,2,0,
"Anne Lucia Cornelia Maria ""Anneloes"" Nieuwenhuizen",Netherlands,Hockey,1,0,1,
Anne Maria Kyllnen,Finland,Cross Country Skiing,0,1,0,
Anne Marjut Astrid Rolig-Lukkarinen,Finland,Cross Country Skiing,1,1,0,
Anne Meygret (-Brottel),France,Fencing,0,0,1,
Anne Nymark Andersen (-Rylandsholm),Norway,Football,0,0,1,
Anne Ottenbrite (-Muylaert),Canada,Swimming,1,1,1,
Anne Pashley (-Irons),Great Britain,Athletics,0,1,0,
Anne Poleska (-Urban),Germany,Swimming,0,0,1,
Anne R. Marden (-Grainger),United States,Rowing,0,2,0,
Anne Schellekens,Netherlands,Rowing,0,0,1,
Anne Schrder,Germany,Hockey,0,0,1,
Anne Theresa Donovan,United States,Basketball,2,0,0,
Anne Tnnessen,Norway,Football,1,0,0,
Anne-Caroline Graffe,France,Taekwondo,0,1,0,
Anne-Caroline Stphanie Chausson,France,Cycling,1,0,0,
Anne-Laure Viard,France,Canoeing,0,0,1,
Anne-Lise Bardet,France,Canoeing,0,0,1,
"Anne-Marie ""Annie"" Famose (-Bremont)",France,Alpine Skiing,0,1,1,
Anne-Marie Rindom,Denmark,Sailing,0,0,1,
"Annegret ""Anne"" Kroniger (-Boller-, -Wolf)",West Germany,Athletics,0,1,0,
Annegret Kober (-Schrder),West Germany,Swimming,0,0,1,
Annegret Richter (Irrgang-),West Germany,Athletics,2,2,0,
Annegret Strauch (-Hmisch),Germany,Rowing,0,0,1,
Annegret Strauch (-Hmisch),East Germany,Rowing,1,0,0,
Anneisha McLaughlin-Whilby,Jamaica,Athletics,0,1,0,
Annekatrin Thiele,Germany,Rowing,1,2,0,
Anneli Susanne Christina Rosenqvist (-Nilsson),Sweden,Canoeing,0,0,2,
Annelie Ulrica Lindstrm,Sweden,Ice Hockey,0,0,1,
Annelies Bredael,Belgium,Rowing,0,1,0,
Annelies Maas (-Kraus),Netherlands,Swimming,0,0,1,
Anneliese Ehrhardt (Jahns-),East Germany,Athletics,1,0,0,
Anneliese Kppers (-Schaurte),Germany,Equestrianism,0,1,0,
Annelise Coberger,New Zealand,Alpine Skiing,0,1,0,
"Annemarie ""Mirl"" Buchner (Fischer-)",Germany,Alpine Skiing,0,1,2,
Annemarie Forder,Australia,Shooting,0,0,1,
"Annemarie Josefina ""Anna"" Cox-Wood",Netherlands,Canoeing,0,0,1,
"Annemarie Josefina ""Anna"" Cox-Wood",Australia,Canoeing,0,0,1,
Annemarie Moser-Prll,Austria,Alpine Skiing,1,2,0,
Annemarie Sanders-Keijzer,Netherlands,Equestrianism,0,1,0,
Annemarie Zimmermann,Germany,Canoeing,1,0,0,
Annemarie Zimmermann,West Germany,Canoeing,1,0,0,
Annemarieke van Rumpt,Netherlands,Rowing,0,1,1,
Annemiek Nicolien de Haan,Netherlands,Rowing,0,1,2,
Annemieke Fokke (-Wilbrenninck),Netherlands,Hockey,0,0,1,
Annemieke Marileen Bes,Netherlands,Sailing,0,1,0,
Annett Bhm,Germany,Judo,0,0,1,
Annett Neumann,Germany,Cycling,0,1,0,
Annette Albertine Gerritsen,Netherlands,Speed Skating,0,1,0,
Annette Dobmeier,Germany,Fencing,0,1,0,
Annette Edmondson,Australia,Cycling,0,0,1,
Annette Elizabeth Salmeen,United States,Swimming,1,0,0,
Annette Hadding,Germany,Swimming,0,0,1,
Annette Hohn,Germany,Rowing,0,0,1,
Annette Joan Rogers (-Kelly),United States,Athletics,2,0,0,
Annette Klug,West Germany,Fencing,1,0,0,
Annette Schultz (-Klatt),East Germany,Volleyball,0,1,0,
Annette Sikveland,Norway,Biathlon,0,0,1,
Annette Skotvoll,Norway,Handball,0,2,0,
Anni Biechl (-Capeller),Germany,Athletics,0,1,0,
Anni Helena Kivioja-Takalo,Finland,Cross Country Skiing,1,3,1,
Anni Steuer (-Ludewig),Germany,Athletics,0,1,0,
